Product Name,Product URL,Product Discount,Product Discount Expiry,Product Price,Product Old Price
Combined stroller Monza 2in1 Lorelli with air tires - Rose & Black,https://detski-magazin.com/detski-kolicki/kombinirana-detska-kolichka-monza-2v1-lorelli-s-vzdushni-gumi-roseblack-10206.html,51%,to 31.12.2021,"302,40лв","617,00лв"
Combined stroller Monza 2in1 Lorelli with air tires - Blue,https://detski-magazin.com/detski-kolicki/kombinirana-detska-kolichka-monza-2v1-lorelli-s-vzdushni-gumi-blue-10208.html,51%,to 31.12.2021,"302,40лв","617,00лв"
Baby stroller Lorelli Calibra 2017 2in1 - aquamarine,https://detski-magazin.com/kombinirani-kolichki/bebeshka-kolichka-lorelli-calibra-2017-2v1-akvamarin-17712.html,45%,to 31.12.2021,"252,00лв","455,00лв"
Baby stroller Lorelli Calibra 2017 2in1 - gray and blue,https://detski-magazin.com/kombinirani-kolichki/bebeshka-kolichka-lorelli-calibra-2017-2v1-sivo-i-sino-17710.html,45%,to 31.12.2021,"252,00лв","455,00лв"
Combined baby stroller Monza 3in1 Lorelli - Blue Black,https://detski-magazin.com/detski-kolicki/kombinirana-bebeshka-kolichka-monza-3v1-lorelli-blue-black-14641.html,33%,to 31.12.2021,"369,60лв","549,00лв"
Baby stroller AURORA Lorelli 2017 air tires - turquoise,https://detski-magazin.com/kombinirani-kolichki/bebeshka-kolichka-aurora-lorelli-2017-vzdushni-gumi-tyurkoazena-18069.html,38%,to 31.12.2021,"252,00лв","405,00лв"
Baby stroller AURORA Lorelli 2017 air tires - pink,https://detski-magazin.com/kombinirani-kolichki/bebeshka-kolichka-aurora-lorelli-2017-vzdushni-gumi-rozova-18070.html,38%,to 31.12.2021,"252,00лв","405,00лв"
Baby stroller AURORA Lorelli 2017 - turquoise,https://detski-magazin.com/kombinirani-kolichki/bebeshka-kolichka-aurora-lorelli-2017-tyurkoazena-18062.html,41%,to 31.12.2021,"218,40лв","369,60лв"
Baby stroller AURORA Lorelli 2017 - pink,https://detski-magazin.com/kombinirani-kolichki/bebeshka-kolichka-aurora-lorelli-2017-rozova-18065.html,41%,to 31.12.2021,"218,40лв","369,60лв"
Baby stroller AURORA Lorelli 2018 - BEIGE & GREEN BEAR,https://detski-magazin.com/kombinirani-kolichki/bebeshka-kolichka-aurora-lorelli-2018-beigegreen-bear-20595.html,41%,to 31.12.2021,"218,40лв","369,60лв"
Baby stroller AURORA Lorelli 2018 - BEIGE & BLUE MAPS,https://detski-magazin.com/kombinirani-kolichki/bebeshka-kolichka-aurora-lorelli-2018-beigeblue-maps-20596.html,41%,to 31.12.2021,"218,40лв","369,60лв"
Baby stroller LUNA 2in1 Lorelli 2017 - aquamarine,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-luna-2v1-lorelli-2017-akvamarin-17708.html,36%,to 31.12.2021,"252,00лв","394,00лв"
Baby kolichka luna black & red,https://detski-magazin.com/2-v-1/detkolichka-luna-blackred-41752.html,36%,to 31.12.2021,"252,00лв","394,00лв"
Stroller starlight set dark blue,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-starlight-set-dark-blue-24744.html,21%,to 31.12.2021,"369,60лв","470,40лв"
Baby stroller lumina dark blue,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-lumina-dark-blue-24749.html,14%,to 31.12.2021,"470,40лв","546,00лв"
D. trolley lumina gray,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-lumina-grey-34074.html,14%,to 31.12.2021,"470,40лв","546,00лв"
D. trolley lumina red,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-lumina-red-34075.html,14%,to 31.12.2021,"470,40лв","546,00лв"
D. trolley lumina black,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-lumina-black-34076.html,14%,to 31.12.2021,"470,40лв","546,00лв"
Baby stroller LUMINA Lorelli 2018 RED,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-lumina-lorelli-2018-red-21919.html,14%,to 31.12.2021,"470,40лв","546,00лв"
Stroller starlight dark blue,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-starlight-dark-blue-24748.html,18%,to 31.12.2021,"302,40лв","370,00лв"
Stroller STARLIGHT Lorelli 2018 with a basket for newborns - BEIGE,https://detski-magazin.com/detski-kolicki/detska-kolichka-starlight-lorelli-2018-s-kosh-za-novorodeno-beige-22047.html,18%,to 31.12.2021,"302,40лв","370,00лв"
Stroller STARLIGHT Lorelli 2018 with a basket for newborns - GRAY,https://detski-magazin.com/detski-kolicki/detska-kolichka-starlight-lorelli-2018-s-kosh-za-novorodeno-grey-22049.html,18%,to 31.12.2021,"302,40лв","370,00лв"
Baby stroller ida + cover dark blue happy hippo,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-idapokrivalo-dark-blue-happy-hippo-24720.html,29%,to 31.12.2021,"87,36лв","123,90лв"
Baby stroller ida + cover beige cool cat,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-idapokrivalo-beige-cool-cat-24721.html,29%,to 31.12.2021,"87,36лв","123,90лв"
Baby stroller ida + blanket gray & green bunnies,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-idapokrivalo-greygreen-bunnies-24723.html,29%,to 31.12.2021,"87,36лв","122,90лв"
D. trolley fiona carbon design,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-fiona-carbon-design-39654.html,16%,to 31.12.2021,"149,52лв","178,00лв"
D. trolley fiona wooden design,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-fiona-wooden-design-39655.html,16%,to 31.12.2021,"149,52лв","178,00лв"
D. trolley fiona wooden design,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-fiona-wooden-design-41985.html,16%,to 31.12.2021,"149,52лв","178,00лв"
Stroller Lorelli SPORT - BEIGE,https://detski-magazin.com/detski-kolicki/detska-kolichka-lorelli-sport-beige-21912.html,14%,to 31.12.2021,"166,32лв","193,20лв"
Stroller Lorelli SPORT - GRAY,https://detski-magazin.com/detski-kolicki/detska-kolichka-lorelli-sport-grey-21913.html,14%,to 31.12.2021,"166,32лв","193,20лв"
Baby stroller sport dark blue,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-sport-dark-blue-24746.html,14%,to 31.12.2021,"166,32лв","193,20лв"
Baby stroller sport red,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-sport-red-24747.html,14%,to 31.12.2021,"166,32лв","193,20лв"
D. stroller ines gray & black cross,https://detski-magazin.com/letni-kolichki/bebeshka-kolichka-ines-greyblack-cross-32494.html,6%,to 31.12.2021,"109,20лв","116,00лв"
Baby stroller Primavera Buba - Gray,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-primavera-buba-siva-31617.html,37%,to 30.09.2021,"186,49лв","296,01лв"
Baby stroller Primavera Buba - beige,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-primavera-buba-bezhova-31618.html,37%,to 30.09.2021,"186,49лв","296,01лв"
